diseaseFromSourceMappedId	diseaseId	targetId	targetFromSourceId	clinicalPhase	clinicalStatus	drugId	targetId_genename
EFO_0000685	EFO_0000685	ENSG00000005844	P20701	2	Completed	CHEMBL1201575	ITGAL
EFO_0000685	EFO_0000685	ENSG00000006210	P78423	2	Completed	CHEMBL4297942	CX3CL1
EFO_0000685	EFO_0000685	ENSG00000006210	P78423	2	Completed	CHEMBL4297942	CX3CL1
EFO_0000685	EFO_0000685	ENSG00000007171	P35228	2	Completed	DB12237	NOS2
EFO_0000685	EFO_0000685	ENSG00000007171	P35228	2	Completed	DB12237	NOS2
EFO_0003898	EFO_0003898	ENSG00000007314	P35499	4	Completed	DB00281	SCN4A
EFO_0000685	EFO_0000685	ENSG00000010610	P01730	2	Completed	CHEMBL1743083	CD4
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	DB14924	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	DB14785	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	DB15170	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	DB14785	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	DB15291	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	CHEMBL3301600	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	DB11703	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	DB11764	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	DB14924	BTK
EFO_0000685	EFO_0000685	ENSG00000010671	Q06187	2	Completed	CHEMBL4594348	BTK
EFO_0003778	EFO_0003778	ENSG00000012779	P09917	3	Recruiting	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	3	Terminated	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	3	Completed	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	4		CHEMBL1562610	ALOX5
EFO_0003778	EFO_0003778	ENSG00000012779	P09917	4	Completed	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	4	Completed	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	4	Unknown status	DB00795	ALOX5
EFO_0003898	EFO_0003898	ENSG00000012779	P09917	4	Unknown status	DB00795	ALOX5
EFO_0003898	EFO_0003898	ENSG00000012779	P09917	4	Completed	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	4		DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	3	Completed	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	3	Completed	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	4	Not yet recruiting	DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	4		DB00795	ALOX5
EFO_0000685	EFO_0000685	ENSG00000012779	P09917	3	Terminated	DB00795	ALOX5
