GO_ID,n_genes,n_edges,density,n_components,largest_component,avg_degree,clustering,is_clique
lacrimal_gland_functional_unit_cell,2323,7670,0.002843897466929032,1,2323,6.603529918209213,0.12375358247793639,False
radial_glial_cell,3384,44458,0.007766897343063531,1,3384,26.275413711583923,0.230436439667154,False
bronchial_smooth_muscle_cell,1412,4389,0.004405892190658987,1,1412,6.21671388101983,0.12802821925141203,False
intermediate_monocyte,2585,13380,0.004006203927157751,1,2585,10.352030947775628,0.16868099270999878,False
corneal_epithelial_cell,3290,32414,0.005991048729254094,1,3290,19.704559270516718,0.212284313690339,False
salivary_gland_cell,3424,36255,0.006186674256882387,1,3424,21.176985981308412,0.217374720048177,False
schwann_cell,3015,20552,0.004523280522844745,1,3015,13.633167495854064,0.18081289829710723,False
mature_nk_t_cell,1450,6647,0.006327312534209086,1,1450,9.168275862068965,0.1716305704721348,False
artery_endothelial_cell,3171,22408,0.004458385188324395,1,3171,14.133081046988332,0.16772013781393535,False
ocular_surface_cell,2986,20219,0.004536861579610489,1,2986,13.542531815137307,0.1633853867924846,False
mature_conventional_dendritic_cell,2988,28117,0.006300618162864605,1,2988,18.81994645247657,0.20728916372455766,False
retinal_ganglion_cell,1461,5959,0.005587278370041161,1,1461,8.157426420260096,0.18278049092585233,False
retinal_pigment_epithelial_cell,2225,8581,0.0034681917387438363,1,2225,7.713258426966292,0.14949147237407748,False
fibroblast,3197,29774,0.005827976243372717,1,3197,18.626212073819204,0.2034679272987818,False
serous_cell_of_epithelium_of_trachea,2741,15669,0.0041726473102416135,1,2741,11.433053630062021,0.17974140241147105,False
lung_microvascular_endothelial_cell,1908,7889,0.004336335623252741,1,1908,8.269392033542976,0.13591264727847205,False
secretory_cell,3134,25906,0.005276804080978349,1,3134,16.532227185705167,0.20539662615106857,False
intestinal_crypt_stem_cell_of_small_intestine,3239,40816,0.0077834590434941965,1,3239,25.202840382834207,0.2413888883409328,False
endothelial_cell_of_vascular_tree,2163,15910,0.006804370706906116,1,2163,14.711049468331021,0.17470690447450118,False
gut_endothelial_cell,1781,5997,0.0037833813852841164,1,1781,6.734418865805727,0.10230941565231308,False
muller_cell,2356,9804,0.0035340045202383397,1,2356,8.32258064516129,0.15112583445833896,False
vein_endothelial_cell,3070,28516,0.0060531765060503106,1,3070,18.577198697068404,0.18906104581336716,False
monocyte,2866,19556,0.004763314005814088,1,2866,13.646894626657362,0.18987670728129116,False
pancreatic_acinar_cell,2629,17194,0.004977267371948406,1,2629,13.08025865348041,0.1946627700308304,False
respiratory_goblet_cell,3092,27756,0.005808291233196741,1,3092,17.953428201811125,0.21883251580043844,False
endothelial_cell_of_artery,2907,17058,0.004038475606854471,1,2907,11.735810113519092,0.14866923949393268,False
t_follicular_helper_cell,2028,13962,0.006792911084968312,1,2028,13.76923076923077,0.1831324883086442,False
bronchial_vessel_endothelial_cell,3312,40280,0.007346321805371351,1,3312,24.32367149758454,0.23051540414574037,False
cardiac_endothelial_cell,2066,8023,0.0037611132857822607,1,2066,7.766698935140368,0.11320829101555785,False
club_cell_of_prostate_epithelium,2748,14088,0.0037325355330070278,1,2748,10.253275109170305,0.15113502690974864,False
ionocyte,2866,16953,0.004129293431200973,1,2866,11.830425680390789,0.17339385549880912,False
hepatocyte,3024,20858,0.004563338916630349,1,3024,13.794973544973544,0.1997117743643823,False
enterocyte_of_epithelium_of_large_intestine,1320,4089,0.004697084568199049,1,1320,6.195454545454545,0.14452200329307002,False
myeloid_dendritic_cell,3258,39335,0.007413790536245021,1,3258,24.14671577655003,0.23108985049439104,False
granulocyte,3300,43306,0.007955762535938347,1,3300,26.246060606060606,0.2621609111643991,False
goblet_cell,1990,7206,0.003641131752275707,1,1990,7.242211055276382,0.14263572546670578,False
