MRPL6 RPL25
rplO rpsS
rplO smrB
rplO vmlR
rplO yjgA
rplP rplT
rplP rplU
rplP rplV
rplP rplW
rplP rplX
rplP rpmE
rplP rpsC
rplP rpsD
rplP rpsE
rplP rpsG
rplP rpsH
rplP rpsK
rplP rpsL
rplP rpsM
rplP rpsN
rplP rpsO
rplP rpsQ
rplP rpsS
rplP smrB
rplP vmlR
rplP yjgA
rplT rplU
rplT rplV
rplT rplW
rplT rplX
rplT rpmE
rplT rpsC
rplT rpsD
rplT rpsE
rplT rpsG
rplT rpsH
rplT rpsK
rplT rpsL
rplT rpsM
rplT rpsN
rplT rpsO
rplT rpsQ
rplT rpsS
rplT smrB
rplT vmlR
rplT yjgA
rplU rplV
rplU rplW
rplU rplX
rplU rpmE
rplU rpsC
rplU rpsD
rplU rpsE
rplU rpsG
rplU rpsH
rplU rpsK
rplU rpsL
rplU rpsM
rplU rpsN
rplU rpsO
rplU rpsQ
rplU rpsS
rplU smrB
rplU typA
rplU vmlR
rplU yjgA
rplV rplW
rplV rplX
rplV rpmE
rplV rpsC
rplV rpsD
rplV rpsE
rplV rpsG
rplV rpsH
rplV rpsK
rplV rpsL
rplV rpsM
rplV rpsN
rplV rpsO
rplV rpsQ
rplV rpsS
rplV smrB
rplV vmlR
rplV yjgA
rplW rplX
rplW rpmE
rplW rpsC
rplW rpsD
rplW rpsE
rplW rpsG
rplW rpsH
rplW rpsK
rplW rpsL
rplW rpsM
rplW rpsN
rplW rpsO
rplW rpsQ
rplW rpsS
rplW smrB
rplW vmlR
rplW yjgA
rplX rpmE
rplX rpsC
rplX rpsD
rplX rpsE
rplX rpsG
rplX rpsH
rplX rpsK
rplX rpsL
rplX rpsM
rplX rpsN
rplX rpsO
rplX rpsQ
rplX rpsS
rplX smrB
rplX vmlR
rplX yjgA
rpmE rpsC
rpmE rpsD
rpmE rpsG
rpmE rpsH
rpmE rpsK
rpmE rpsL
rpmE rpsM
rpmE rpsN
rpmE rpsO
rpmE rpsQ
rpmE rpsS
rpmE smrB
rpmE yjgA
rpsC rpsD
rpsC rpsE
rpsC rpsG
rpsC rpsH
rpsC rpsK
rpsC rpsL
rpsC rpsM
rpsC rpsN
rpsC rpsO
rpsC rpsQ
rpsC rpsS
rpsC rsgA
rpsC smrB
rpsC vmlR
rpsD rpsE
rpsD rpsG
rpsD rpsH
rpsD rpsK
rpsD rpsL
rpsD rpsM
rpsD rpsN
rpsD rpsO
rpsD rpsQ
rpsD rpsS
