RAD14 RFA1
RAD14 SIZ1
RAD14 TFB3
RAD16 RFA1
RAD18 RAD32
RAD18 REV3
RAD18 RFA1
RAD18 SIZ1
RAD18 STP2
RAD32 REV3
RAD32 RFA1
RAD32 SIZ1
RAM1 RPC11
RAM1 ZCF9
REV3 RFA1
RIM101 SEF1
RIM101 SFU1
RIM101 UME6
RIM101 VPS27
RIM101 ZRT1
RIM101 ZRT2
RME1 UME6
RME1 ZCF22
ROB1 UME6
ROB1 ZSF1
RPA12 RPA135
RPA12 RPC10
RPA12 RPC11
RPA12 TFB3
RPA135 RPC10
RPA135 RPC11
RPA135 TFB3
RPC10 RPC11
RPC10 SUA71
RPC10 SUA72
RPC10 TFB3
RPC11 TFB3
RPL37B ZSF1
SAS2 SET3
SAS3 SET3
SEC23 SEC24
SEF1 SFU1
SEF1 UGA3
SEF1 ZCF13
SEF1 ZCF18
SEF1 ZCF21
SEF1 ZFU2
SFU1 TAC1
SFU1 WOR4
SIZ1 TRY3
STB5 STP2
STB5 UME7
STB5 WOR4
STB5 ZCF25
STP4 SUT1
STP4 ZCF17
SUA71 SUA72
SUA71 TFB3
SUA71 ZCF9
SUA72 TFB3
SUA72 ZCF9
SUC1 TRY2
SUC1 TRY3
SUC1 UGA33
SUC1 WAR1
SUC1 ZCF28
SUC1 ZCF39
SUC1 ZFU2
SUT1 ZRT2
TAC1 WAR1
TAC1 WOR4
TEA1 ZCF38
TFB3 ZCF22
TFB3 ZCF4
TRY2 TRY3
TRY2 TRY5
TRY2 UGA33
TRY2 WAR1
TRY2 ZCF28
TRY2 ZCF31
TRY2 ZCF39
TRY2 ZFU2
TRY3 TRY5
TRY3 UGA33
TRY3 WAR1
TRY3 ZCF28
TRY3 ZCF31
TRY3 ZCF39
TRY3 ZCF8
TRY4 ZCF1
TRY4 ZCF16
TRY4 ZCF2
TRY4 ZCF21
TRY4 ZCF5
TRY4 ZCF8
TRY4 ZFU2
TRY5 UGA33
TRY5 ZCF32
UGA3 ZCF1
UGA3 ZCF13
UGA3 ZCF18
UGA3 ZCF29
UGA3 ZCF7
UGA33 WAR1
UGA33 ZCF28
UGA33 ZCF31
UGA33 ZCF39
UGA33 ZFU2
UME6 UME7
UME7 ZCF14
UME7 ZCF25
UME7 ZCF38
UME7 ZCF39
WAR1 ZCF28
WAR1 ZCF31
WAR1 ZCF35
WAR1 ZCF39
WAR1 ZFU2
WOR2 WOR3
WOR2 WOR4
WOR3 WOR4
WOR3 ZCF21
WOR3 ZCF22
WOR4 ZCF21
WOR4 ZCF6
ZCF1 ZCF13
ZCF1 ZCF16
ZCF1 ZCF18
ZCF1 ZCF21
ZCF1 ZCF29
ZCF1 ZCF5
ZCF1 ZCF7
ZCF13 ZCF14
ZCF13 ZCF18
ZCF13 ZCF31
ZCF13 ZCF39
ZCF13 ZCF6
ZCF13 ZCF7
ZCF13 ZFU2
ZCF14 ZCF25
ZCF14 ZCF31
ZCF14 ZCF38
ZCF14 ZCF39
ZCF14 ZCF6
ZCF15 ZCF29
ZCF16 ZCF21
ZCF18 ZCF22
ZCF18 ZCF29
ZCF18 ZCF7
ZCF2 ZCF8
ZCF20 ZCF24
ZCF20 ZCF26
ZCF20 ZCF4
ZCF20 ZCF6
ZCF20 ZCF7
ZCF21 ZCF27
ZCF21 ZCF29
ZCF21 ZCF5
ZCF21 ZCF7
ZCF21 ZCF8
ZCF24 ZCF4
ZCF24 ZCF7
ZCF25 ZCF38
ZCF25 ZCF39
ZCF26 ZCF38
ZCF27 ZCF30
ZCF27 ZCF8
ZCF28 ZCF31
ZCF28 ZCF39
ZCF28 ZFU2
ZCF29 ZCF7
ZCF31 ZCF39
ZCF31 ZCF6
ZCF31 ZCF8
ZCF31 ZFU2
ZCF38 ZCF39
ZCF39 ZCF6
ZCF39 ZFU2
ZCF4 ZCF6
ZCF4 ZCF7
ZCF6 ZFU2
ZCF7 ZFU2
ZCF8 ZFU2
accD pyrC
accD ribD
ada radA
ada uvrA
add cdd
add guaD
add tadA
adhA adhB
adhA fbaA
adhP ahr
adhP yahK
adk cysS
ahr yahK
alaS cysS
alaS ftsH
alaS gltX
alaS gluQRS
alaS ileS
alaS ileS2
alaS nagK
alaS rne
alaS rnz
alaS rpoC
araD fucA
araD gutB
araD metH
argE dapE
cdd tadA
cdd tdk
cdd ybeY
clpX dnaG
clpX dnaJ
clpX ftsH
clpX fur
clpX htpX
clpX mcsA
clpX msrB
clpX nrdR
clpX pepN
clpX perR
clpX radA
clpX ribD
clpX rpoC
cobB dnaJ
cobB nagK
cobB nudC
comEB dnaG
comEB tdk
cysS ftsH
cysS gltX
cysS gluQRS
cysS hemB
cysS ileS
cysS ileS2
cysS pyrC
cysS radA
dksA gluQRS
dksA rpoC
dnaE dnaG
dnaE recR
dnaE rpoC
dnaE topA
dnaE uvrA
dnaG folE
dnaG gltX
dnaG guaD
dnaG priA
dnaG recR
dnaG ribD
dnaG rpoC
dnaG topA
dnaG uvrA
dnaJ fbaA
dnaJ ftsH
dnaJ htpX
dnaJ ileS
dnaJ iolJ
dnaJ kbaY
dnaJ mcsA
dnaJ radA
dnaJ recR
dnaJ srtN
dnaJ trxC
dnaJ uvrA
dnaJ ybeY
dnaJ zntR
fbaA fucA
fbaA nagK
fbaA tdk
folE ftsH
folE hisI
folE htpX
folE metH
folE pdxA
folE queC
folE recR
folE ribA
folE ribBA
folE ribD
folE ybeY
ftsH gltX
ftsH htpX
ftsH rpoC
ftsH uvrA
ftsH ybeY
fucA metH
fur rpoC
fur zur
gatD gatY
gatY kbaY
gltX hemB
gltX ileS
gltX ileS2
gltX mutM
gltX nfo
gltX radA
gltX ribD
gltX topA
gluQRS ileS
hemB ribA
hemB ribBA
hemB ribD
hisD hisI
hisD ribD
hisI ribA
hypA hypB
hypA hypF
hypB hypF
hypF kduI
hypF rbn
hypF rne
ileS ribD
ileS rpoC
ileS ybeY
ileS2 rpoC
ileS2 topA
kduI manA
kduI rne
mcsA radA
metE metH
metE mtnB
metE pyrC
metE yxjG
metE yxjH
metH thiC
msrB queC
msrB trxC
msrB uvrA
mtnB ywqB
mtnB yxjG
mtnB yxjH
mutM nei
mutM nfo
mutM nrdR
mutM pepT
mutM polX
mutM radA
mutM recR
mutM uvrA
mutM ybeY
nagK rne
nanK rne
nfo polX
nfo recR
nfo topA
nfo uvrA
nrdR pepT
nrdR ribBA
nrdR ribD
pdxA pdxK
pdxA ribA
pdxA ribD
pepN pepT
pepN pyrC
pepT pepV
perR zinT
polX radA
polX ybeY
queC ribBA
queC zinT
radA recR
radA ribD
radA topA
radA uvrA
rbn rne
rbn rpoC
rbn ybeY
recR ribD
recR rpoC
recR topA
recR uvrA
recR ybeY
ribA ribD
ribBA ribD
ribBA uvrA
ribBA ybeY
ribD tadA
ribD thiC
ribD topA
ribD trxC
ribD ybeY
rne ybeY
rnjA rnjB
rnjA rnz
rnjA topA
rnjA ybeY
rnjB rnz
rnjB topA
rpoC topA
rpoC uvrA
rpoC ybiI
rpoC ylyA
rpoC yocK
rpoC yteA
rpoC zntR
rpoC zur
thiC thiS
topA uvrA
topA ybeY
ylyA yocK
ylyA zinT
yocK yteA
yocK zinT
yteA zinT
ytiB yvdA
yxjG yxjH
zinT zntR
zinT zur
zntR zur
