acpP hycF
acpP infC
acpP lpxA
acpP lpxB
acpP lpxC
acpP lpxD
acpP nuoI
acpP nuoM
acpP pepI
acpP petA
acpP yqeH
albB albG
arnA arnB
arnA arnD
arnA wcaJ
arnB arnD
arnB lpxD
arnB wcaJ
artJ glnH
asa1 gelE
bcaP yhdH
bcaP yhjC
bcaP yocS
bcsG ldrD
bdbD ccdA
bdbD resB
bdbD yneN
bhlA xhlA
bhlA xhlB
bhlA ybdO
bofA spoIIIAF
bofA spoIIIAG
bofA spoIIIAH
bofA spoIIP
bofA spoIIQ
bofA spoIVFB
bofA yabQ
bofA yjcA
bofA ykvU
bofA ypeB
bofA yqfD
bofA yqfX
bofA yqhR
bofA yshB
bofA ytrI
cccA qcrA
cccA qcrC
cccA resB
cccA sdhC
cccA ydjH
cccA yhfW
cccA ylaH
cccA yneK
cccA yqgY
cccA yqzF
cccA ytpI
cccA yuiB
cccB qcrA
cccB qcrC
cccB resB
cccB sdhC
cccB ydjH
cccB yhfW
cccB ylaH
cccB yneK
cccB yqgY
cccB yqzF
cccB yuiB
ccdA hemY
ccdA resB
ccdA yneJ
ccdA yneN
citT gltA
comGD comGE
comGD nucA
comGE nucA
cotX yycH
csbA yozB
cvpA hflK
cvpA lepB
cydX nuoG
cydX nuoM
cydX ybgE
cydX ynhF
cysP ytvB
degS liaF
degS sipW
desK liaF
desK yvfT
divIC dynA
divIC ecsB
divIC rseP
divIC rsiX
divIC spoIIIE
divIC xpaC
divIC yabQ
divIC ydiL
divIC yfhP
divIC yhaH
divIC yrrS
divIC yshB
divIC ytxG
divIC ywzB
divIC yycH
dltE ywzH
dynA resB
dynA sdhC
dynA ydjH
dynA yneK
dynA yqgY
dynA yqzF
dynA yuiB
ecnA ecnB
ecnB mlaA
ecsB rseP
ecsB walH
ecsB yhgE
ecsB yshB
ecsB ywzB
epsC epsG
epsC epsL
epsC sipW
epsC tuaE
epsC ykrP
epsG epsL
epsG sipW
epsL sipW
epsL tuaE
epsL ykrP
essB isdC
essB srtB
essD rzoD
fabHB fabZ
fabHB plsC
fabHB yhfC
fabZ fadD
fabZ glmU
fabZ lpxA
fabZ lpxB
fabZ lpxC
fabZ lpxD
fabZ plsC
fabZ yqeH
fdhF hycF
fdhF hyfH
fdhF nuoG
fdhF nuoM
fliZ rsiW
fliZ yebA
fliZ yfmS
fliZ ylxF
fliZ yqhR
fliZ yybS
gerAB gerAC
gerAB gerBC
gerAB gerKB
gerAB gerKC
gerAB spoIIIAD
gerAB spoIIIAE
gerAB spoVAC
gerAB yqzK
gerAB ywcE
gerAC gerKB
gerAC gerKC
gerAC spoIIIAD
gerAC spoIIIAE
gerAC spoVAC
gerAC ykvU
gerAC ylbC
gerAC ypeB
gerAC yqhL
gerAC ywcE
gerBC gerKB
gerBC gerKC
gerBC spoIIIAD
gerBC spoIIIAE
gerBC ypeB
gerKB gerKC
gerKB spoIIIAC
gerKB spoIIIAD
gerKB spoIIIAE
gerKB spoVAA
gerKB spoVAC
gerKB ypeB
gerKC spoIIIAC
gerKC spoIIIAD
gerKC spoIIIAE
gerKC spoVAC
gerKC ypeB
gerKC yunB
glcU metQ
glcU spoVAB
glcU spoVAC
glcU yhcJ
glmU lpxA
glmU pknB
glnA glnH
glnA gltA
gspA gspB
hemAT yfmS
hemAT yhfW
hemX ybgE
hemY resB
hflC hflK
htrA htrB
htrA rseP
htrB rseP
htrB sppA
htrC rseP
htrC walH
htrC ypeB
hycF hyfH
hycF nuoG
hycF nuoM
hyfH nuoG
hyfH nuoM
ilvL ivbL
infC ysdA
isdC srtB
kdsB lpxA
kdsB lpxB
kdsB lpxC
kdsB lpxD
kinB kinC
kinB sipW
kinC sipW
lepB mepM
lepB pqiB
lepB rseC
levD levR
levD ytxG
liaF liaI
liaF prkC
liaF walH
liaF ydbK
liaF ydfH
liaF yhcY
liaF yvfT
liaF ywzB
liaI ydjH
lonB spoIIIAC
lonB spoIIIAD
lonB spoIIIAE
lonB ylbJ
lpxA lpxB
lpxA lpxC
lpxA lpxD
lpxA mlaA
lpxB lpxC
lpxB lpxD
lpxC lpxD
lpxC mlaA
lpxD mlaA
madL madM
metQ yhcJ
minJ walH
minJ yrrS
minJ ywzB
mlaA pqiB
mlaA yebT
motB sigI
napA napD
napD ydeP
nuoG nuoL
nuoG nuoM
nuoG sdhC
nuoG ynhF
nuoL nuoM
nuoM rbtA
nuoM ynhF
pbpE rsiW
pbpE sppA
pbpE ydjP
pbpE yvlA
pbpF rseP
pbpF spoIIQ
pcp plsC
pdaA ydaM
pdaA yheN
pdaA ylbJ
pdaB ylbJ
plsC prkC
pqiB yebT
prkC rsiW
prkC yhcY
pspB pspG
qcrA qcrC
qcrA resB
qcrA sdhC
qcrA ydjH
qcrA ylaH
qcrA yneK
qcrA ypjA
qcrA ypjB
qcrA yqgY
qcrA yqzF
qcrA yuiB
qcrC resB
qcrC sdhC
qcrC ybaR
qcrC ydjH
qcrC yhfW
qcrC ylaH
qcrC yneK
qcrC ypjA
qcrC ypjB
qcrC yqgY
qcrC yqzF
qcrC ytpI
qcrC yuiB
qcrC yvdB
resB spmA
resB ylaH
resB yneK
resB yozB
resB yqgY
resB yqzF
resB ytpI
resB yuiB
rseP rsiW
rseP spoIIIE
rseP spoIVFB
rseP sppA
rsiV yrhK
rsiW sppA
rsiW ydbS
rsiW ydbT
rsiW ydjP
rsiW ylxF
rsiW ysdB
rsiW yvlD
rsiX yeaD
rsiX yebA
rsiX ykvU
rsiX ylxX
rsiX yqgB
rsiX yrrS
rsiX ysdB
rsiX ytrI
sdhC tcuB
sdhC yhfW
sipW sppA
sipW spsB
spmA spoIIB
spmA spoIIIAC
spmA spoIIIAD
spmA spoIIIAE
spmA spoIIIAF
spmA spoIIIAG
spmA spoIIIAH
spmA spoIIP
spmA spoIVFB
spmA spoVAB
spmA yqfD
spmA yqzK
spoIIB spoIIIAC
spoIIB spoIIIAD
spoIIB spoIIIAE
spoIIB spoIIIAH
spoIIB spoIIP
spoIIB spoIIQ
spoIIB spoIVFB
spoIIB spoVAB
spoIIE spoIIIAC
spoIIE spoIIIAD
spoIIE spoIIIAE
spoIIE spoVAC
spoIIE spoVAE
spoIIE yunB
spoIIIAC spoIIIAD
spoIIIAC spoIIIAE
spoIIIAC spoIIIAF
spoIIIAC spoIIIAG
spoIIIAC spoIIIAH
spoIIIAC spoIIP
spoIIIAC spoIVB
spoIIIAC spoVAC
spoIIIAC spoVAE
spoIIIAC yabQ
spoIIIAC ylbJ
spoIIIAC ypeB
spoIIIAC yqfD
spoIIIAC yqhR
spoIIIAC yqhV
spoIIIAC ytrH
spoIIIAC yunB
spoIIIAD spoIIIAE
spoIIIAD spoIIIAF
