NormalizedSubject	TaxID	Source
Enterococcus faecium 1603630	1352	json
Enterococcus faecium 1603637	1352	json
Enterococcus faecium 1603688	1352	json
Enterococcus faecium 1704054	1352	json
Enterococcus faecium 1704095	1352	json
Enterococcus faecium 700221	1352	json
Enterococcus faecium 9-F-6	1352	json
Enterococcus faecium ATCC 19434	1352	json
Enterococcus faecium DMG1700661	1352	json
Enterococcus faecium DMG1700787	1352	json
Enterococcus faecium DMG1800332	1352	json
Enterococcus faecium DMG1901766	1352	json
Enterococcus faecium HOU503	1352	json
Enterococcus faecium LMG11423	1352	json
Enterococcus faecium LMG16003	1352	json
Enterococcus faecium NCTC7171	1352	json
Enterococcus faecium R497	1134837	json
Enterococcus faecium VSE	1352	json
Escherichia coli 339940-002-477	562	json
Escherichia coli 339942-001-501	562	json
Escherichia coli 339942-002-506	562	json
Escherichia coli 344914-013-1036	562	json
Escherichia coli 700926	562	json
Escherichia coli AG100	83333	json
Escherichia coli AG100A	562	json
Escherichia coli AR-0001	562	json
Escherichia coli AR-0149	562	json
Escherichia coli ARC2687	562	json
Escherichia coli ARC3627	562	json
Escherichia coli ATCC 10536	562	json
Escherichia coli ATCC 25922	562	json
Escherichia coli ATCC 35150	1389955	json
Escherichia coli ATCC 35218	562	json
Escherichia coli ATCC 8739	562	json
Escherichia coli ATCC 9637	566546	json
Escherichia coli BR1E	562	json
Escherichia coli BR1F	562	json
Escherichia coli BW25113	679895	json
Escherichia coli C031	562	json
Escherichia coli C047	562	json
Escherichia coli CCM3988	562	json
Escherichia coli CDC-0452	562	json
Escherichia coli CGSC5073	562	json
Escherichia coli CH1	562	json
Escherichia coli CIP1	562	json
Escherichia coli D030	562	json
Escherichia coli D032	562	json
Escherichia coli DA44554	562	json
Escherichia coli DA45430	562	json
Escherichia coli DA46661	562	json
Escherichia coli DA47114	562	json
Escherichia coli DA63164	562	json
Escherichia coli EC118	562	json
Escherichia coli EC122	562	json
Escherichia coli EC123	562	json
Escherichia coli EC125	562	json
Escherichia coli EC127	562	json
Escherichia coli EC1552	562	json
Escherichia coli EC958	941322	json
Escherichia coli ERR1878189	562	json
Escherichia coli ERR1878190	562	json
Escherichia coli ERR2137881	562	json
Escherichia coli ERR2137921	562	json
Escherichia coli ERR2137923	562	json
Escherichia coli ERS357195	562	json
Escherichia coli ERS357668	562	json
Escherichia coli ERS357718	562	json
Escherichia coli ERS357811	562	json
Escherichia coli ERS357812	562	json
Escherichia coli ERS357813	562	json
Escherichia coli ERS357814	562	json
Escherichia coli ERS357815	562	json
Escherichia coli ERS357816	562	json
Escherichia coli ERS357843	562	json
Escherichia coli ERS357845	562	json
Escherichia coli GG 14-6 Cef	562	json
Escherichia coli H17	1355047	json
Escherichia coli HAM5E	562	json
Escherichia coli IR57	562	json
Escherichia coli J53	1144303	json
Escherichia coli JW0452	562	json
Escherichia coli K-12	316407	json
Escherichia coli LMG8223	562	json
Escherichia coli LW53	562	json
Escherichia coli LW54	562	json
Escherichia coli LW55	562	json
Escherichia coli LW56	562	json
Escherichia coli LW57	562	json
Escherichia coli LW58	562	json
Escherichia coli LW59	562	json
Escherichia coli MCR1	562	json
Escherichia coli MCR2	562	json
Escherichia coli MG1655	511145	json
Escherichia coli MG1656	562	json
Escherichia coli MTCC118	562	json
Escherichia coli MTCC739	562	json
Escherichia coli NCTC10418	562	json
Escherichia coli NCTC12241	562	json
Escherichia coli O78	2072463	json
Escherichia coli PBIO1937	562	json
Escherichia coli PBIO1939	562	json
Escherichia coli PBIO1940	562	json
Escherichia coli PBIO1941	562	json
Escherichia coli PBIO1942	562	json
Escherichia coli PBIO1943	562	json
Escherichia coli PBIO1944	562	json
Escherichia coli PBIO1945	562	json
Escherichia coli PBIO1946	562	json
Escherichia coli PBIO1947	562	json
Escherichia coli PBIO1948	562	json
Escherichia coli PBIO1949	562	json
Escherichia coli PBIO711	562	json
Escherichia coli PCM2857	562	json
Escherichia coli PK-3225	562	json
Escherichia coli RL138	562	json
Escherichia coli S117	562	json
Escherichia coli SKM18	562	json
Escherichia coli ST10	562	json
Escherichia coli ST101	562	json
Escherichia coli ST1196	562	json
Escherichia coli ST131	941322	json
Escherichia coli ST155	562	json
Escherichia coli ST156	562	json
Escherichia coli ST162	562	json
Escherichia coli ST167	562	json
Escherichia coli ST340	562	json
Escherichia coli ST405	562	json
Escherichia coli ST410	562	json
Escherichia coli ST648	562	json
Escherichia coli TJ249	562	json
Escherichia coli TW100	562	json
Escherichia coli TW140	562	json
Escherichia coli TW176	562	json
Escherichia coli TW236	562	json
Escherichia coli TW99	562	json
Escherichia coli WDCM00013	562	json
Haemophilus influenzae BLR1	727	json
Haemophilus influenzae BLR2	727	json
Haemophilus influenzae BLR3	727	json
Haemophilus influenzae BLR5	727	json
Haemophilus influenzae BLR6	727	json
Haemophilus influenzae BLR8	727	json
Haemophilus influenzae MSC02022	727	json
Haemophilus influenzae MSC02070	727	json
Haemophilus influenzae MSC02149	727	json
Haemophilus influenzae MSC07169	727	json
Haemophilus influenzae MSC07237	727	json
Haemophilus influenzae MSC07771	727	json
Helicobacter pylori ATCC 43504	210	json
Helicobacter pylori KH0001	210	json
Helicobacter pylori KH0012	210	json
Helicobacter pylori KH0016	210	json
Helicobacter pylori KH0022	210	json
Helicobacter pylori KH0025	210	json
Helicobacter pylori KH0031	210	json
Helicobacter pylori KH0032	210	json
Helicobacter pylori KH0033	210	json
Helicobacter pylori KH0040	210	json
Helicobacter pylori KH0042	210	json
Helicobacter pylori KH0045	210	json
Helicobacter pylori KH0054	210	json
Helicobacter pylori KH0065	210	json
Helicobacter pylori KH0066	210	json
Helicobacter pylori KH0070	210	json
Helicobacter pylori KH0071	210	json
Helicobacter pylori KH0072	210	json
Helicobacter pylori KH0075	210	json
Helicobacter pylori KH0086	210	json
Helicobacter pylori KH0092	210	json
Helicobacter pylori KH0095	210	json
Helicobacter pylori KH0097	210	json
Helicobacter pylori KH0106	210	json
Helicobacter pylori KH0110	210	json
Helicobacter pylori KH0113	210	json
Helicobacter pylori KH0119	210	json
Helicobacter pylori KH0120	210	json
Helicobacter pylori KH0122	210	json
Helicobacter pylori KH0125	210	json
Helicobacter pylori KH0126	210	json
Helicobacter pylori KH0127	210	json
Helicobacter pylori KH0129	210	json
Helicobacter pylori KH0141	210	json
Helicobacter pylori KH0143	210	json
Helicobacter pylori KH0148	210	json
Helicobacter pylori KH0149	210	json
Helicobacter pylori KH0153	210	json
Helicobacter pylori KH0156	210	json
Helicobacter pylori KH0158	210	json
Helicobacter pylori KH0159	210	json
Helicobacter pylori KH0161	210	json
Helicobacter pylori KH0165	210	json
Helicobacter pylori KH0167	210	json
Helicobacter pylori KH0172	210	json
Helicobacter pylori KH0173	210	json
Helicobacter pylori KH0175	210	json
Helicobacter pylori KH0176	210	json
Helicobacter pylori KH0178	210	json
Helicobacter pylori KH0182	210	json
Helicobacter pylori KH0191	210	json
Helicobacter pylori KH0198	210	json
Helicobacter pylori KH0207	210	json
Helicobacter pylori KH0210	210	json
Helicobacter pylori MH179988	210	json
Helicobacter pylori NCTC11637	210	json
Helicobacter pylori NCTC11638	210	json
Klebsiella aerogenes LMG02094	548	json
Klebsiella oxytoca ARC5389	571	json
Klebsiella oxytoca KXB10	571	json
Klebsiella oxytoca KXB44	571	json
Klebsiella oxytoca PBIO708	571	json
Klebsiella oxytoca PBIO713	571	json
Klebsiella pneumoniae 878757	573	json
Klebsiella pneumoniae 885662	573	json
Klebsiella pneumoniae 886012	573	json
Klebsiella pneumoniae 887213	573	json
Klebsiella pneumoniae 911056	573	json
Klebsiella pneumoniae 911057	573	json
Klebsiella pneumoniae A-1797	573	json
Klebsiella pneumoniae AKPRH060589	573	json
Klebsiella pneumoniae AKPRH073749	573	json
Klebsiella pneumoniae AKPRH073791	573	json
Klebsiella pneumoniae AKPRH075470	573	json
Klebsiella pneumoniae AKPRH080251	573	json
Klebsiella pneumoniae AKPRH081695	573	json
Klebsiella pneumoniae AKPRH081861	573	json
Klebsiella pneumoniae AKPRH083936	573	json
Klebsiella pneumoniae AKPRH085199	573	json
Klebsiella pneumoniae AKPRH088118	573	json
Klebsiella pneumoniae AKPRH089275	573	json
Klebsiella pneumoniae AKPRH089312	573	json
Klebsiella pneumoniae AKPRH090404	573	json
Klebsiella pneumoniae AKPRH094381	573	json
Klebsiella pneumoniae AKPRH097079	573	json
Klebsiella pneumoniae AKPRH097254	573	json
Klebsiella pneumoniae AKPRH101752	573	json
Klebsiella pneumoniae AKPRH103086	573	json
Klebsiella pneumoniae AKPRH103748	573	json
Klebsiella pneumoniae AKPRH104785	573	json
