NormalizedSubject	TaxID	Source
Enterococcus faecalis ATCC 29212	1201292.0	ena
Enterococcus faecalis ATCC 51299	1351.0	ena
Enterococcus faecalis LMG08222	1351.0	json
Enterococcus faecalis LMG16216	1351.0	json
Enterococcus faecalis NCTC775	1351.0	json
Enterococcus faecalis ST179 ST16	3378283.0	json
Enterococcus faecalis V583	226185.0	ena
Enterococcus faecium 1603019	1352.0	ena
Enterococcus faecium 1603084	1352.0	ena
Enterococcus faecium 1603162	1352.0	ena
Enterococcus faecium 1603243	1352.0	ena
Enterococcus faecium 1603274	1352.0	ena
Enterococcus faecium 1603275	1352.0	ena
Enterococcus faecium 1603296	1352.0	ena
Enterococcus faecium 1603370	1352.0	ena
Enterococcus faecium 1603389	1352.0	ena
Enterococcus faecium 1603468	1352.0	ena
Enterococcus faecium 1603514	1352.0	ena
Enterococcus faecium 1603515	1352.0	ena
Enterococcus faecium 1603630	1352.0	ena
Enterococcus faecium 1603637	1352.0	ena
Enterococcus faecium 1603688	1352.0	ena
Enterococcus faecium 1704054	1352.0	ena
Enterococcus faecium 1704095	1352.0	ena
Enterococcus faecium 700221	1352.0	ena
Enterococcus faecium 9-F-6	1352.0	ena
Enterococcus faecium ATCC 19434	1352.0	ena
Enterococcus faecium DMG1700661	1352.0	ena
Enterococcus faecium DMG1700787	1352.0	ena
Enterococcus faecium DMG1800332	1352.0	ena
Enterococcus faecium DMG1901766	1352.0	ena
Enterococcus faecium HOU503	1352.0	ena
Enterococcus faecium LMG11423	1352.0	json
Enterococcus faecium LMG16003	1352.0	json
Enterococcus faecium NCTC7171	1352.0	json
Enterococcus faecium R497	1134837.0	ena
Enterococcus faecium VSE	1352.0	ena
Escherichia coli 339940-002-477	562.0	ena
Escherichia coli 339942-001-501	562.0	ena
Escherichia coli 339942-002-506	562.0	ena
Escherichia coli 344914-013-1036	562.0	ena
Escherichia coli 700926	562.0	ena
Escherichia coli AG100	562.0	ena
Escherichia coli AG100A	562.0	ena
Escherichia coli AR-0001	562.0	ena
Escherichia coli AR-0149	562.0	ena
