mrnC rplP 0.824
mrnC rplT 0.801
mrnC rplU 0.826
mrnC rplV 0.822
mrnC rplW 0.824
mrnC rplX 0.821
mutSB rplB 0.803
mutSB rplC 0.803
mutSB rplD 0.826
mutSB rplE 0.803
mutSB rplF 0.802
mutSB rplI 0.802
mutSB rplO 0.801
mutSB rplP 0.803
mutSB rplT 0.827
mutSB rplU 0.808
mutSB rplV 0.803
mutSB rplW 0.803
mutSB rplX 0.801
mutSB rpsC 0.802
mutSB rpsD 0.826
mutSB rpsE 0.801
mutSB rpsG 0.805
mutSB rpsH 0.801
mutSB rpsK 0.802
mutSB rpsL 0.801
mutSB rpsM 0.801
mutSB rpsO 0.809
mutSB rpsQ 0.802
mutSB rpsS 0.802
rlmN rplA 0.403
rlmN rplV 0.405
rlmN rpsQ 0.448
rlmN rsgA 0.671
rnc rnmV 0.618
rnc rplB 0.864
rnc rplB 0.865
rnc rplB 0.894
rnc rplB 0.895
rnc rplB 0.907
rnc rplC 0.898
rnc rplC 0.907
rnc rplC 0.913
rnc rplC 0.921
rnc rplC 0.927
rnc rplD 0.902
rnc rplD 0.913
rnc rplD 0.926
rnc rplE 0.765
rnc rplE 0.773
rnc rplE 0.793
rnc rplE 0.799
rnc rplF 0.828
rnc rplF 0.834
rnc rplF 0.857
rnc rplF 0.864
rnc rplI 0.731
rnc rplI 0.75
rnc rplI 0.755
rnc rplI 0.808
rnc rplI 0.816
rnc rplO 0.868
rnc rplO 0.894
rnc rplO 0.895
rnc rplO 0.915
rnc rplO 0.921
rnc rplP 0.888
rnc rplP 0.891
rnc rplP 0.9
rnc rplP 0.91
rnc rplP 0.916
rnc rplT 0.836
rnc rplT 0.889
rnc rplT 0.9
rnc rplT 0.918
rnc rplU 0.741
rnc rplU 0.873
rnc rplU 0.874
rnc rplU 0.894
rnc rplU 0.897
rnc rplV 0.882
rnc rplV 0.899
rnc rplV 0.901
rnc rplV 0.921
rnc rplV 0.926
rnc rplX 0.731
rnc rplX 0.753
rnc rplX 0.781
rnc rplX 0.799
rnc rpsD 0.781
rnc rpsD 0.802
rnc rpsD 0.808
rnc rpsD 0.824
rnc rpsD 0.827
rnc rpsE 0.87
rnc rpsE 0.896
rnc rpsE 0.9
rnc rpsE 0.911
rnc rpsE 0.918
rnc rpsG 0.878
rnc rpsG 0.914
rnc rpsG 0.916
rnc rpsG 0.927
rnc rpsH 0.732
rnc rpsH 0.786
rnc rpsH 0.796
rnc rpsH 0.809
rnc rpsH 0.81
rnc rpsK 0.876
rnc rpsK 0.904
rnc rpsK 0.905
rnc rpsK 0.915
rnc rpsK 0.923
rnc rpsL 0.899
rnc rpsL 0.912
rnc rpsL 0.924
rnc rpsL 0.925
rnc rpsM 0.71
rnc rpsM 0.733
rnc rpsM 0.74
rnc rpsM 0.765
rnc rpsM 0.796
rnc rpsN 0.853
rnc rpsN 0.876
rnc rpsO 0.913
rnc rpsO 0.923
rnc rpsO 0.944
