KAR2 PMA1 0.5
KAR2 POR1 0.535
KAR2 SEC62 0.741
KAR2 SNL1 0.743
KAR2 SSA2 0.669
LAC1 LAG1 0.918
LAC1 LCB2 0.757
LAC1 LCB4 0.938
LAC1 SCS7 0.514
LAG1 LCB2 0.549
LAG1 LCB4 0.961
LAG1 SCS7 0.419
LCB2 LCB4 0.793
LCB2 PMA1 0.469
LCB2 SCS7 0.736
LCB2 TRP5 0.885
LCB4 RTA3 0.638
LCB4 SCS7 0.609
LCB4 TIM54 0.674
LMO1 RAC1 0.865
LPT1 SCT1 0.945
LPT1 SCT2 0.945
MCU1 PET9 0.624
MCU1 POR1 0.48
MCU1 TGL99 0.573
MIT1 SCS7 0.473
MLT1 YCF1 0.406
MNN26 MNT1 0.515
MNN4 MNS1 0.476
MNN4 MNT1 0.689
MNN4 MNT3 0.693
MNS1 MNT1 0.439
MNS1 PMT2 0.623
MNT1 MNT3 0.908
MNT1 PMT2 0.681
MRR2 RAC1 0.41
MRV2 MRV8 0.834
MSC7 TRP5 0.509
MSS4 PIKA 0.962
MYO2 RAC1 0.564
NDH51 NUC2 0.999
NDH51 NUO2 0.99
NDH51 QCR2 0.997
NUC2 NUO2 0.905
NUC2 QCR2 0.983
NUC2 VMA7 0.505
NUO2 PST3 0.4
NUO2 QCR2 0.774
OBPA PIKA 0.968
OPT8 PET9 0.414
PET9 POR1 0.675
PET9 QCR2 0.689
PET9 RPL4B 0.508
PET9 TGL99 0.594
PET9 UGA4 0.412
PHB1 POR1 0.591
PHB1 RNR22 0.403
PIKA RAC1 0.508
PMA1 SUR7 0.405
POR1 QCR2 0.58
POR1 TGL99 0.406
POR1 VPS1 0.656
PST2 YCP4 0.729
PST3 YCP4 0.932
PUT4 UGA4 0.503
RAC1 RDI1 0.893
RER2 SRT1 0.925
RER2 TRP5 0.767
RNR22 SCS7 0.472
RPL16A RPL4B 0.999
RPL16A RPL6 0.999
RPL16A RPS5 0.999
RPL4B RPL6 0.999
RPL4B RPS5 0.999
RPL6 RPS5 0.999
RPS5 VMA11 0.608
SCS7 SLD1 0.769
SCT1 SCT2 0.935
SGT2 SSA2 0.487
SNG3 SNG4 0.586
SNL1 SSA2 0.52
SRT1 TRP5 0.767
SSA2 TRP5 0.584
TLO11 TLO16 0.683
TLO11 TLO5 0.694
TLO11 TLO7 0.612
