NormalizedSubject	TaxID	Status
Helicobacter pylori KH0054	210.0	ok
Helicobacter pylori KH0065	210.0	ok
Helicobacter pylori KH0066	210.0	ok
Helicobacter pylori KH0070	210.0	ok
Helicobacter pylori KH0071	210.0	ok
Helicobacter pylori KH0072	210.0	ok
Helicobacter pylori KH0075	210.0	ok
Helicobacter pylori KH0086	210.0	ok
Helicobacter pylori KH0092	210.0	ok
Helicobacter pylori KH0095	210.0	ok
Helicobacter pylori KH0097	210.0	ok
Helicobacter pylori KH0106	210.0	ok
Helicobacter pylori KH0110	210.0	ok
Helicobacter pylori KH0113	210.0	ok
Helicobacter pylori KH0119	210.0	ok
Helicobacter pylori KH0120	210.0	ok
Helicobacter pylori KH0122	210.0	ok
Helicobacter pylori KH0125	210.0	ok
Helicobacter pylori KH0126	210.0	ok
Helicobacter pylori KH0127	210.0	ok
Helicobacter pylori KH0129	210.0	ok
Helicobacter pylori KH0141	210.0	ok
Helicobacter pylori KH0143	210.0	ok
Helicobacter pylori KH0148	210.0	ok
Helicobacter pylori KH0149	210.0	ok
Helicobacter pylori KH0153	210.0	ok
Helicobacter pylori KH0156	210.0	ok
Helicobacter pylori KH0158	210.0	ok
Helicobacter pylori KH0159	210.0	ok
Helicobacter pylori KH0161	210.0	ok
Helicobacter pylori KH0165	210.0	ok
Helicobacter pylori KH0167	210.0	ok
Helicobacter pylori KH0172	210.0	ok
Helicobacter pylori KH0173	210.0	ok
Helicobacter pylori KH0175	210.0	ok
Helicobacter pylori KH0176	210.0	ok
Helicobacter pylori KH0178	210.0	ok
Helicobacter pylori KH0182	210.0	ok
Helicobacter pylori KH0191	210.0	ok
Helicobacter pylori KH0198	210.0	ok
Helicobacter pylori KH0207	210.0	ok
Helicobacter pylori KH0210	210.0	ok
Helicobacter pylori MH179988	210.0	ok
Klebsiella oxytoca ARC5389	571.0	ok
Klebsiella oxytoca KXB10	571.0	ok
Klebsiella oxytoca KXB44	571.0	ok
Klebsiella oxytoca PBIO708	571.0	ok
Klebsiella oxytoca PBIO713	571.0	ok
Klebsiella pneumoniae 878757	573.0	ok
Klebsiella pneumoniae 885662	573.0	ok
Klebsiella pneumoniae 886012	573.0	ok
Klebsiella pneumoniae 887213	573.0	ok
Klebsiella pneumoniae 911056	573.0	ok
Klebsiella pneumoniae 911057	573.0	ok
Klebsiella pneumoniae A-1797	573.0	ok
Klebsiella pneumoniae AKPRH060589	573.0	ok
Klebsiella pneumoniae AKPRH073749	573.0	ok
Klebsiella pneumoniae AKPRH073791	573.0	ok
Klebsiella pneumoniae AKPRH075470	573.0	ok
Klebsiella pneumoniae AKPRH080251	573.0	ok
Klebsiella pneumoniae AKPRH081695	573.0	ok
Klebsiella pneumoniae AKPRH081861	573.0	ok
Klebsiella pneumoniae AKPRH083936	573.0	ok
Klebsiella pneumoniae AKPRH085199	573.0	ok
Klebsiella pneumoniae AKPRH088118	573.0	ok
Klebsiella pneumoniae AKPRH089275	573.0	ok
Klebsiella pneumoniae AKPRH089312	573.0	ok
Klebsiella pneumoniae AKPRH090404	573.0	ok
Klebsiella pneumoniae AKPRH094381	573.0	ok
Klebsiella pneumoniae AKPRH097079	573.0	ok
Klebsiella pneumoniae AKPRH097254	573.0	ok
Klebsiella pneumoniae AKPRH101752	573.0	ok
Klebsiella pneumoniae AKPRH103086	573.0	ok
Klebsiella pneumoniae AKPRH103748	573.0	ok
Klebsiella pneumoniae AKPRH104785	573.0	ok
Klebsiella pneumoniae AKPRH111435	573.0	ok
Klebsiella pneumoniae AKPRH111506	573.0	ok
Klebsiella pneumoniae AKPRH112452	573.0	ok
Klebsiella pneumoniae AKPRH112959	573.0	ok
Klebsiella pneumoniae AKPRH114788	573.0	ok
Klebsiella pneumoniae AKPRH120539	573.0	ok
Klebsiella pneumoniae AKPRH121194	573.0	ok
Klebsiella pneumoniae AKPRH122047	573.0	ok
Klebsiella pneumoniae AKPRH122847	573.0	ok
Klebsiella pneumoniae AKPRH123639	573.0	ok
Klebsiella pneumoniae AKPRH123804	573.0	ok
Klebsiella pneumoniae AKPRH124873	573.0	ok
Klebsiella pneumoniae AKPRH125024	573.0	ok
Klebsiella pneumoniae AKPRH125859	573.0	ok
Klebsiella pneumoniae AKPRH127063	573.0	ok
Klebsiella pneumoniae AKPRH127096	573.0	ok
Klebsiella pneumoniae AKPRH136678	573.0	ok
Klebsiella pneumoniae AMR0155	573.0	ok
Klebsiella pneumoniae AMR0171	573.0	ok
Klebsiella pneumoniae AMR0179	573.0	ok
Klebsiella pneumoniae AMR0201	573.0	ok
Klebsiella pneumoniae AR-0003	573.0	ok
Klebsiella pneumoniae AR-0049	573.0	ok
Klebsiella pneumoniae AR-0139	573.0	ok
Klebsiella pneumoniae AR-0153	573.0	ok
Klebsiella pneumoniae ARC561	573.0	ok
Klebsiella pneumoniae ARC6088	573.0	ok
